@@,item,itemlabel,startdate,enddate
->,Q108344974,Roberto Rojas López->Roberto Rojas López (1942-),1998-05-08,2002-05-08
->,Q113971588,José Enrique Castillo Barrantes->José Enrique Castillo Barrantes (1945-),2011-09-05,2014-05-08
->,Q102077694,Rodolfo Solano Quirós,2020-01->2020-01-31,
