position,title
Q27977064,President
Q7925043,Vice President
Q114704706,Minister of Agriculture and Livestock
Q114704925,Minister of Childhood and Adolescence
Q114704824,Minister of Communication
Q114704788,"Minister of Culture, Youth and Sports"
Q114704797,"Minister of Economy, Industry and Commerce"
Q114704799,Minister of Education
Q114704712,Minister of Environment and Energy
Q114704900,Minister of Finance
Q6402752,Minister of Foreign Affairs
Q114704750,Minister of Foreign Trade
Q114704812,Minister of Health
Q113971282,Minister of Housing and Human Settlement
Q114704865,Minister of Human Development and Social Inclusion
Q114704800,Minister of Justice and Peace
Q114704815,Minister of Labour and Social Security
Q113971274,Minister of National Planning
Q52244184,Minister of the Presidency
Q113971339,Minister of Public Security
Q114704807,Minister of Public Works and Transport
Q114704714,"Minister of Science, Technology and Telecommunications"
Q113970675,Minister of Sport and Recreation
Q113970716,Minister of Tourism
Q114704849,Minister of Women
Q113969536,President of the Legislative Assembly
