@@,item,itemlabel,startdate,enddate
+++,,Carlos Vargas Pagán,1999,2000
+++,,Ovidio Pacheco Salazar,2001,2002
+++,,Rolando Laclé Castro,2002,2003
+++,,Gerardo González Esquivel,2004,2006
+++,,Luis Fernando Mendoza Jiménez,2013,2014
+++,,Gonzalo Alberto Ramírez Zamora,2017,2018
->,Q96104614,Eduardo Cruickshank->Eduardo Cruickshank Smith,2020-05-01,2021-04-30
->,Q90961464,Silvia Hernández Sánchez->Silvia Vanessa Hernández Sánchez,2021-05-01,2022-04-30
->,Q6110636,Rodrigo Arias Sánchez,2022-05-01,NULL->2023
