item,itemLabel,startDate,endDate
,Carlos Vargas Pagán,1999,2000
Q106102414,Rina Contreras López,2000,2001
,Ovidio Pacheco Salazar,2001,2002
,Rolando Laclé Castro,2002,2003
Q26996248,Mario Redondo Poveda,2003,2004
,Gerardo González Esquivel,2004,2006
Q17540834,Francisco Antonio Pacheco Fernández,2006,2010
Q5983547,Luis Gerardo Villanueva Monge,2010,2011
Q5390645,Juan Carlos Mendoza García,2011,2012
Q6165476,Víctor Emilio Granados Calvo,2012,2013
,Luis Fernando Mendoza Jiménez,2013,2014
Q16730301,Henry Mora Jiménez,2014,2015
Q28501766,Rafael Ortiz Fábrega,2015,2016
Q2857521,Antonio Álvarez Desanti,2016,2017
,Gonzalo Alberto Ramírez Zamora,2017,2018
Q52768193,Carolina Hidalgo Herrera,2018,2019
Q54848004,Carlos Ricardo Benavides Jiménez,2019,2020
Q96104614,Eduardo Cruickshank Smith,2020,2021
Q90961464,Silvia Vanessa Hernández Sánchez,2021,2022
Q6110636,Rodrigo Arias Sánchez,2022,2023
