item,itemLabel,position,positionLabel,startDate,endDate
Q28501930,Natalia Díaz Quintana,,Presidencia,2022-05-08,
,Arnoldo André Tinoco,,Relaciones Exteriores y Culto,2022-05-08,
,Nogui Acosta Jaén,,Hacienda,2022-05-08,
,Jorge Torres Castillo,,"Seguridad Pública, Gobernación y Policía",2022-05-08,
,Gerald Campos Valverde,,Justicia y Paz,2022-05-08,
,Anna Katharina Müller Castro,,Educación Pública,2022-05-08,
,Luis Amador Jiménez,,Obras Públicas y Transportes,2022-05-08,
,Francisco Gamboa Soto,,"Economía, Industria y Comercio",2022-05-08,
,Laura Bonilla Coto,,Agricultura y Ganadería,2022-05-08,
,Joselyn Chacón Madrigal,,Salud Pública,2022-05-08,
,Marta Eugenia Esquivel Rodríguez,,Trabajo y Seguridad Social,2022-05-08,
,Nayuribe Guadamuz Rosales,,Cultura y Juventud,2022-05-08,
,Laura Fernández Delgado,,Planificación Nacional y Política Económica,2022-05-08,
,Franz Tattenbach Capra,,Ambiente y Energía,2022-05-08,
,Jéssica Martínez Porras,,Vivienda y Asentamientos Humanos,2022-05-08,
,Manuel Tovar Rivera,,Comercio Exterior,2022-05-08,
,Carlos Enrique Alvarado Briceño,,"Ciencia, Innovación, Tecnología y Telecomunicaciones",2022-05-08,
,Patricia Navarro Molina,,Comunicación,2022-05-08,
,William Rodríguez López,,Turismo,2022-05-08,
Q111524163,Mary Munive Angermüller,,Deporte y la Recreación,2022-06-04,
,Yorleny León Marchena,,Desarrollo Humano e Inclusión Social,2022-05-08,
,Cindy Quesada Hernández,,Condición de la Mujer,2022-05-08,
,Gloriana López Fuscaldo,,Niñez y la Adolescencia,2022-05-08,
