itemLabel,positionLabel
Natalia Díaz Quintana,Ministerio de la Presidencia
Arnoldo André Tinoco,Ministerio de Relaciones Exteriores y Culto
Anna Katharinna Müller Castro,Ministerio de Educación Pública
Joselyn Chacón Madrigal,Ministerio de Salud
Marta Eugenia Esquivel Rodríguez,Caja Costarricense de Seguro Social
Manuel Tovar Rivera,Ministerio de Comercio Exterior
Laura Fernández Delgado,Ministerio de Planificación Nacional y Política Económica
Franz Tattenbach,Ministerio de Ambiente y Energía
