position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q7330070,foreign minister,,<noval>,2,Q108344974
Q6086452,First Ladies and Gentlemen of Costa Rica,,Costa Rica,1,Q16493361
Q6123153,General Secretariat of the Organization of American States,,,1,Q562577
Q965043,Judge of the International Criminal Court,,,1,Q456141
Q4352360,President of the United Nations Security Council,,United Nations Security Council,1,Q49344
Q121998,ambassador,,,1,Q58158
Q456692,ambassador to the United Kingdom,,,1,Q28501766
Q16533,judge,,,1,Q374783
Q6085545,list of presidents of the Legislative Assembly of Costa Rica,,,1,Q106102414
Q12303322,minister of labour,,,1,Q26996246
