item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q102077694,Rodolfo Solano Quirós,NormalRank,Q2407745,"El Carmen, San Jose",true,true,false,,,,
Q106102414,Rina Contreras López,NormalRank,Q3070,San José,true,true,true,false,true,false,false
Q108344974,Roberto Rojas López,,,,,,false,,,,
Q111524163,Mary Munive,NormalRank,Q800,Costa Rica,true,false,false,,,,
Q111677386,Stephan Brunner,NormalRank,Q800,Costa Rica,true,false,false,,,,
Q113970806,Carlos Vargas Pagán,,,,,,false,,,,
Q113970807,Gerardo González Esquivel,,,,,,false,,,,
Q113970809,Gonzalo Alberto Ramírez Zamora,,,,,,false,,,,
Q113970810,Luis Fernando Mendoza Jiménez,,,,,,false,,,,
Q113970811,Ovidio Pacheco Salazar,,,,,,false,,,,
Q113970812,Rolando Laclé Castro,,,,,,false,,,,
Q113971588,José Enrique Castillo Barrantes,,,,,,false,,,,
Q114704690,Arnoldo André Tinoco,,,,,,false,,,,
Q114705136,Anna Katharina Müller Castro,,,,,,false,,,,
Q114705137,Carlos Enrique Alvarado Briceño,,,,,,false,,,,
Q114705139,Cindy Quesada Hernández,,,,,,false,,,,
Q114705140,Francisco Gamboa Soto,,,,,,false,,,,
Q114705141,Franz Tattenbach Capra,,,,,,false,,,,
Q114705143,Gerald Campos Valverde,,,,,,false,,,,
Q114705144,Gloriana López Fuscaldo,,,,,,false,,,,
Q114705145,Jorge Torres Castillo,,,,,,false,,,,
Q114705147,Joselyn Chacón Madrigal,,,,,,false,,,,
Q114705148,Jéssica Martínez Porras,,,,,,false,,,,
Q114705149,Laura Bonilla Coto,,,,,,false,,,,
Q114705150,Laura Fernández Delgado,,,,,,false,,,,
Q114705151,Luis Amador Jiménez,,,,,,false,,,,
Q114705152,Manuel Tovar Rivera,,,,,,false,,,,
Q114705153,Marta Eugenia Esquivel Rodríguez,,,,,,false,,,,
Q114705154,Nayuribe Guadamuz Rosales,,,,,,false,,,,
Q114705155,Nogui Acosta Jaén,,,,,,false,,,,
Q114705156,Patricia Navarro Molina,,,,,,false,,,,
Q114705157,William Rodríguez López,,,,,,false,,,,
Q114705158,Yorleny León Marchena,,,,,,false,,,,
Q114941902,Victor Carvajal Porras,,,,,,false,,,,
Q15980216,Helio Fallas,NormalRank,Q800,Costa Rica,true,false,true,false,false,false,true
Q15980311,Ana Helena Chacón,NormalRank,Q3070,San José,true,true,true,false,false,false,true
Q16493361,Gloria Bejarano Almada,NormalRank,Q1489,Mexico City,true,true,true,false,false,true,true
Q16730301,Henry Mora Jiménez,NormalRank,Q800,Costa Rica,true,false,true,false,false,true,true
Q16731337,Leda Zamora Chaves,NormalRank,Q691346,Upala,true,true,true,false,false,false,true
Q17540834,Francisco Antonio Pacheco Fernández,NormalRank,Q502188,Alajuela Province,true,true,true,false,false,true,true
Q2072531,Luis Liberman,NormalRank,Q3070,San José,true,true,true,false,false,false,true
Q217794,Abel Pacheco,NormalRank,Q3070,San José,true,true,true,false,false,false,true
Q23682309,Manuel Ventura Robles,NormalRank,Q3070,San José,true,true,false,,,,
Q26996246,Carlos Alvarado Quesada,NormalRank,Q3070,San José,true,true,false,,,,
Q26996248,Mario Redondo Poveda,NormalRank,Q30617,Cartago,true,true,true,false,false,true,true
Q27916850,Manuel González Sanz,NormalRank,Q3070,San José,true,true,true,false,false,true,true
Q28501766,Rafael Ortiz Fábrega,,,,,,false,,,,
Q28501930,Natalia Díaz Quintana,NormalRank,Q3070,San José,true,true,true,false,false,false,true
