item,itemLabel,startDate,endDate,sourceDate,psid
Q562577,Miguel Rodríguez Echeverría,1998-05-08,2002-05-08,2022-09-14,Q562577-67F853DA-59E5-4E4C-8E3F-0309200AFF1F
Q217794,Abel Pacheco de la Espriella,2002-05-08,2006-05-08,2022-09-14,Q217794-7951E8D4-24D4-4583-BD42-37C53F24276A
Q49344,Óscar Arias Sánchez,2006-05-08,2010-05-08,,Q49344-612D94A4-84C6-48A0-AB4D-DD8D6F1B9950
Q57321,Laura Chinchilla Miranda,2010-05-08,2014-05-08,2022-09-14,Q57321-150a6965-4afa-351f-8eb5-9c8ade0cd240
Q5983599,Luis Guillermo Solís Rivera,2014-05-08,2018-05-08,2022-09-14,Q5983599-374a2ddb-4c23-2aa5-9f10-66a2b4764ed4
Q26996246,Carlos Alvarado Quesada,2018-05-08,2022-05-08,,Q26996246-D93EAEA0-B38E-4713-B5A8-D3F98A54F921
Q98017689,Rodrigo Chaves Robles,2022-05-08,,2022-09-14,Q98017689-2B88608A-801E-46D6-B4F6-160098F28CB7
