@@,item,itemlabel,startdate,enddate
->,Q562577,Miguel Ángel Rodríguez Echeverría->Miguel Rodríguez Echeverría,1998-05-08,2002-05-08
->,Q217794,Abel Pacheco->Abel Pacheco de la Espriella,2002-05-08,2006-05-08
+++,Q49344,Óscar Arias Sánchez,2006-05-08,2010-05-08
->,Q57321,Laura Chinchilla->Laura Chinchilla Miranda,2010-05-08,2014-05-08
->,Q5983599,Luis Guillermo Solís->Luis Guillermo Solís Rivera,2014-05-08,2018-05-08
->,Q98017689,Rodrigo Alberto de Jesús Chaves Robles->Rodrigo Chaves Robles,2022-05-08,
