position,person,personID,start,end
President,Rodrigo Alberto de Jesús Chaves Robles,Q98017689,2022-05-08,
Vice President,Mary Munive,Q111524163,2022-05-08,
Vice President,Stephan Brunner,Q111677386,2022-05-08,
Minister of Agriculture and Livestock,Laura Bonilla Coto,Q114705149,2022-05-08,
Minister of Childhood and Adolescence,Gloriana López Fuscaldo,Q114705144,2022-05-08,
Minister of Communication,Patricia Navarro Molina,Q114705156,2022-05-08,
"Minister of Culture, Youth and Sports",Nayuribe Guadamuz Rosales,Q114705154,2022-05-08,
"Minister of Economy, Industry and Commerce",Francisco Gamboa Soto,Q114705140,2022-05-08,
Minister of Education,Anna Katharina Müller Castro,Q114705136,2022-05-08,
Minister of Environment and Energy,Franz Tattenbach Capra,Q114705141,2022-05-08,
Minister of Finance,Nogui Acosta Jaén,Q114705155,2022-05-08,
Minister of Foreign Affairs,Arnoldo Andre Tinoco,Q114704690,2022-05-08,
Minister of Foreign Trade,Manuel Tovar Rivera,Q114705152,2022-05-08,
Minister of Health,Joselyn Chacón Madrigal,Q114705147,2022-05-08,
Minister of Housing and Human Settlement,Jéssica Martínez Porras,Q114705148,2022-05-08,
Minister of Human Development and Social Inclusion,Yorleny León Marchena,Q114705158,2022-05-08,
Minister of Justice and Peace,Gerald Campos Valverde,Q114705143,2022-05-08,
Minister of Labour and Social Security,Marta Eugenia Esquivel Rodríguez,Q114705153,2022-05-08,
Minister of National Planning,Laura Fernández Delgado,Q114705150,2022-05-08,
Minister of the Presidency,Natalia Díaz Quintana,Q28501930,2022-05-08,
Minister of Public Security,Jorge Torres Castillo,Q114705145,2022-05-08,
Minister of Public Works and Transport,Luis Amador Jiménez,Q114705151,2022-05-08,
"Minister of Science, Technology and Telecommunications",Carlos Enrique Alvarado Briceño,Q114705137,2022-05-08,
Minister of Sport and Recreation,Mary Munive,Q111524163,2022-06-04,
Minister of Tourism,William Rodríguez López,Q114705157,2022-05-08,
Minister of Women,Cindy Quesada Hernández,Q114705139,2022-05-08,
President of the Legislative Assembly,Rodrigo Arias Sánchez,Q6110636,2022-05-01,
