wanted,position,positionid,from,start,end
Q114705308,Minister of Sport and Recreation,Q113970675,Q111524163,2022-06-04,
Q114705450,Minister of Education,Q114704799,Q114705136,2022-05-08,
Q51540879,Vice President,Q7925043,Q111524163,2022-05-08,
Q5384033,Vice President,Q7925043,Q111677386,2022-05-08,
Q5983599,President,Q27977064,Q26996246,2018-05-08,2022-05-08
Q4721942,Vice President,Q7925043,Q15980216,2014-05-08,2018-05-05
Q6395995,Vice President,Q7925043,Q2072531,2010-05-08,2014-05-08
Q562577,President,Q27977064,Q217794,2002-05-08,2006-05-08
