wanted,position,positionid,from,start,end
Q98017689,President,Q27977064,Q26996246,2018-05-08,2022-05-08
Q51540879,Vice President,Q7925043,Q15980311,2014-05-08,2018-05-08
Q5384033,Vice President,Q7925043,Q15980216,2014-05-08,2018-05-05
Q5480187,Member of the Legislative Assembly,Q21328617,Q28501930,2014-05-01,2018-04-30
Q49344,President,Q27977064,Q217794,2002-05-08,2006-05-08
