who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
70768888,List of presidents of the Legislative Assembly of Costa Rica,President of the Legislative Assembly of Costa Rica,2022-05-01,,Q90961464,Silvia Hernández Sánchez,,,0
70768888,Legislative Assembly of Costa Rica,Deputy of the Legislative Assembly from San José's 1st seat,2022-05-01,,Q54848004,Carlos Benavides Jiménez,,,1
70768888,San José Province,Deputy of the Legislative Assembly from San José's 1st seat,2022-05-01,,Q54848004,Carlos Benavides Jiménez,,,2
70768888,Q52244184,Minister of the Presidency of Costa Rica,2006-03-08,2010-05-08,Q5976724,Lineth Saborío Chaverri,Marco Vargas Díaz,Marco Vargas Díaz,3
70768888,,,1986-05-08,1990-05-08,Danilo Jiménez Veiga,Danilo Jiménez Veiga,Rodolfo Méndez Mata,Rodolfo Méndez Mata,4
